CodigoMateria,Identificacao,Ementa,Data,IndicadorAutorPrincipal,CodigoParlamentar,interesse,justificativa_interesse
151202,PL 4363/2021,"Institui o Selo Nacional ASG, conferido as empresas que investem em ações e projetos de motivação ambiental, social e de governança.",2021-12-08,Sim,6027,6,Autor principal da matéria há menos de 3 anos
151535,PL 39/2022,"Altera o Decreto-Lei nº 2.848, de 07 de dezembro de 1940 – Código Penal, para dispor sobre a importunação sexual praticada por médicos ou profissionais da saúde no exercício de suas atividades.",2022-02-02,Sim,6027,6,Autor principal da matéria há menos de 3 anos
151534,PL 36/2022,"Altera o Decreto-Lei nº 2.848, de 07 de dezembro de 1940 – Código Penal, para dispor sobre o transporte rodoviário interestadual ou internacional clandestino de passageiros.",2022-02-02,Sim,6027,6,Autor principal da matéria há menos de 3 anos
151533,PL 33/2022,"Dispõe sobre o direito do portador de deficiência mental, intelectual ou sensorial de ingressar e permanecer em ambientes de uso coletivo acompanhado de cão de apoio emocional.",2022-02-02,Sim,6027,6,Autor principal da matéria há menos de 3 anos
151169,PL 4320/2021,"Altera a Lei nº 8.987, de 13 de fevereiro de 1995, que dispõe sobre o regime de concessão e permissão da prestação de serviços públicos previsto no art. 175 da Constituição Federal, e dá outras providências, para dispor sobre a segurança jurídica nos contratos de concessão de serviço público.",2021-12-07,Sim,6027,6,Autor principal da matéria há menos de 3 anos
151168,PL 4319/2021,"Altera a Lei nº 12.850, de 02 de agosto de 2013, que define organização criminosa e dispõe sobre a investigação criminal, os meios de obtenção da prova, infrações penais correlatas e o procedimento criminal; e dá outras providências, para dispor sobre embaraço a instrução de ação judicial.",2021-12-07,Sim,6027,6,Autor principal da matéria há menos de 3 anos
151536,PL 42/2022,"Altera a Lei nº 8.987, de 13 de fevereiro de 1995, que dispõe sobre o regime de concessão e permissão da prestação de serviços públicos, para dispor sobre a interrupção das operações e dá outras providências.",2022-02-02,Sim,6027,6,Autor principal da matéria há menos de 3 anos
150491,PL 3773/2021,"Altera a Lei nº 11.343 de 23 de agosto de 2006, que institui o Sistema Nacional de Políticas Públicas sobre Drogas - Sisnad; prescreve medidas para prevenção do uso indevido, atenção e reinserção social de usuários e dependentes de drogas; estabelece normas para repressão à produção não autorizada e ao tráfico ilícito de drogas; define crimes e dá outras providências, para dispor sobre o afastamento da minorante prevista no § 4º, do art. 33 com base em ato infracional.",2021-10-27,Sim,6027,6,Autor principal da matéria há menos de 3 anos
150600,PL 3876/2021,Dispõe sobre a responsabilidade civil referente aos investimentos em criptomoeda.,2021-11-03,Sim,6027,6,Autor principal da matéria há menos de 3 anos
150214,PL 3475/2021,Autoriza a liquidação ou o parcelamento de dívidas de produtores rurais administradas pelo Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis – IBAMA e dá outras providências.,2021-10-06,Sim,6027,6,Autor principal da matéria há menos de 3 anos
150534,PL 3811/2021,"Autoriza a liquidação ou o parcelamento de débitos de produtores rurais, detentores de posse ou de propriedade de imóvel rural com mais de quatro módulos fiscais, junto ao Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA) e dá outras providências.",2021-10-28,Sim,6027,6,Autor principal da matéria há menos de 3 anos
150481,PL 3765/2021,"Altera a Lei nº 13.105, de 16 de março de 2015 - Código de Processo Civil, para dispor sobre a aplicação de astreintes.",2021-10-27,Sim,6027,6,Autor principal da matéria há menos de 3 anos
150383,PEC 34/2021,"Altera o inciso I do art. 56 da Constituição Federal, para prever que a investidura de parlamentar no cargo de chefe de missão diplomática de caráter permanente não dá ensejo à perda de seu mandato.",2021-10-21,Não,6027,0,Co-autor de PEC
148933,PEC 17/2021,"Altera o Ato das Disposições Constitucionais Transitórias para aumentar, até 31 de dezembro de 2021, o limite de moratória e parcelamento de débitos previdenciários dos entes federativos, e de suas autarquias e fundações públicas, vencidos até a promulgação desta Emenda Constitucional para 240 (duzentos e quarenta) meses.",2021-06-29,Não,6027,0,Co-autor de PEC
147896,PL 1143/2021,"Altera a Lei nº 10.848, de 15 de março de 2004, para criar mecanismo de redução de tarifas de energia elétrica para o consumidor.",2021-03-30,Sim,6027,6,Autor principal da matéria há menos de 3 anos
148029,PEC 7/2021,"Inclui, na Constituição Federal, o direito à qualidade do ar entre os direitos e garantias fundamentais.",2021-04-09,Não,6027,0,Co-autor de PEC
147858,PL 1099/2021,"Altera a Lei nº 14.125, de 10 de março de 2021, para que Pessoas jurídicas de direito privado possam adquirir diretamente vacinas contra a Covid-19, promovendo a vacinação de forma concomitante e sem prejuízo à continuidade do Programa Nacional de Imunizações (PNI).",2021-03-29,Sim,6027,6,Autor principal da matéria há menos de 3 anos
146043,PLP 280/2020,"Altera a Lei Complementar nº 123, de 14 de dezembro de 2006, e a Lei nº 9.532, de 10 de dezembro de 1997, para instituir crédito às microempresas e empresas de pequeno porte, correspondente ao valor despendido com reforma de imóvel não residencial, a ser abatido do valor devido no âmbito do Simples Nacional ou do Imposto sobre a Renda devido em cada período de apuração no Lucro Presumido.",2020-12-16,Sim,6027,6,Autor principal da matéria há menos de 3 anos
144585,PEC 33/2020,"Altera o § 4º do art. 57 da Constituição Federal, para permitir a recondução dos membros das Mesas da Câmara dos Deputados e do Senado Federal.",2020-09-04,Não,6027,0,Co-autor de PEC
144138,PEC 30/2020,"Altera o art. 1º da Constituição Federal, para elencar “a prevenção e o combate à corrupção” como um dos fundamentos da República Federativa do Brasil.",2020-08-18,Não,6027,0,Co-autor de PEC
142705,PEC 23/2020,Adia para o mês de dezembro a realização das eleições municipais previstas para outubro de 2020.,2020-06-22,Não,6027,0,Co-autor de PEC
142021,PEC 19/2020,"Introduz dispositivos ao Ato das Disposições Constitucionais Transitórias, a fim de tornar coincidentes os mandatos eletivos.",2020-05-20,Não,6027,0,Co-autor de PEC
141980,PEC 16/2020,"Autoriza o Tribunal Superior Eleitoral a adiar as eleições municipais de outubro de 2020, em caso de necessidade e fixa o mandato dos Prefeitos, Vice-Prefeitos e Vereadores a serem eleitos nessas eleições, a fim de que haja a coincidência de todos os pleitos a partir de 2026.",2020-05-18,Não,6027,0,Co-autor de PEC
142043,PEC 20/2020,"Determina a contagem em dobro, para fins de aposentadoria, do tempo de contribuição dos servidores públicos civis e militares das áreas de saúde e segurança pública da União, dos Estados, do Distrito Federal e dos Municípios, referente a serviço prestado nas ações de combate à pandemia do Coronavírus SARS-CoV-2 (Covid-19).",2020-05-20,Não,6027,0,Co-autor de PEC
142206,PEC 22/2020,"Acrescenta artigo ao Ato das Disposições Constitucionais Transitórias para determinar o adiamento, por dois meses, das eleições municipais de 2020 e dos prazos eleitorais respectivos.",2020-06-01,Não,6027,0,Co-autor de PEC
141744,PEC 14/2020,Altera o art. 155 da Constituição Federal para vedar a instituição do ITCD sobre as transmissões e doações às organizações da sociedade civil e aos institutos de pesquisa sem fins lucrativos.,2020-04-29,Não,6027,0,Co-autor de PEC
141929,PEC 15/2020,"Modifica o art. 144 da Constituição Federal, para determinar que o Diretor-Geral da Polícia Federal tenha a designação de Delegado-Geral de Polícia Federal, e dá outras providências.",2020-05-13,Não,6027,0,Co-autor de PEC
141559,PL 1885/2020,"Altera a Lei nº 13.979, de 6 de fevereiro de 2020, que dispõe sobre as medidas para enfrentamento da emergência de saúde pública de importância internacional decorrente do coronavírus responsável pelo surto de 2019, para vedar a suspensão ou rescisão unilateral dos contratos dos planos privados de assistência à saúde durante o período de emergência de saúde pública de importância internacional.",2020-04-14,Sim,6027,5,Autor principal da matéria há mais de 3 ano
141566,PEC 11/2020,"Institui o Fundo Anticíclico de Combate à Pobreza – FACP; estabelece limites para a taxa de pobreza infantil; prevê que o FACP seja fonte de recursos para políticas de assistência social em caso de descumprimento dos limites de pobreza, bem como para premiação financeira de entes federativos que tenham avanços relevantes na área social; e dá outras providências.",2020-04-15,Não,6027,0,Co-autor de PEC
141577,PEC 12/2020,"Altera o art. 66 da Constituição Federal, para estabelecer o prazo de até dois dias uteis para a sanção em caso de situação de emergência e calamidade.",2020-04-15,Não,6027,0,Co-autor de PEC
141437,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,2020-04-06,Sim,6027,5,Autor principal da matéria há mais de 3 ano
141438,PL 1544/2020,"Acrescenta art. 13-A à Lei 9.656, de 3 de junho de 1998, para vedar a suspensão ou a rescisão unilateral de contratos de planos de saúde durante estados de calamidade públicas ou de emergência de saúde pública de importância internacional e dá outras providências.",2020-04-06,Sim,6027,5,Autor principal da matéria há mais de 3 ano
