,CodigoParlamentar,CodigoMateria,interesse,justificativa_interesse
30847,6027.0,156424,7,Co-autor de PEC - Autor de emenda há menos de 1 ano
30848,6027.0,156437,7,Autor principal da matéria há menos de 1 ano
30849,6027.0,156450,7,Autor de emenda há menos de 1 ano
30850,6027.0,156460,7,Autor de emenda há menos de 1 ano
30851,6027.0,156580,0,Co-autor de PEC
30852,6027.0,156667,0,Co-autor de PEC
30853,6027.0,156810,0,Co-autor de PEC
30854,6027.0,156985,7,Autor de emenda há menos de 1 ano
30855,6027.0,157134,0,Co-autor de PEC
30856,6027.0,157146,0,Co-autor de PEC
30857,6027.0,157175,7,Autor de emenda há menos de 1 ano
30858,6027.0,157178,7,Autor de emenda há menos de 1 ano
30859,6027.0,157210,7,Autor de emenda há menos de 1 ano
30860,6027.0,157219,0,Co-autor de PEC
30861,6027.0,157258,0,Co-autor de PEC
30862,6027.0,157368,7,Autor de emenda há menos de 1 ano
30863,6027.0,157382,7,Autor de emenda há menos de 1 ano
30864,6027.0,157423,7,Autor de emenda há menos de 1 ano
30865,6027.0,157478,7,Autor de emenda há menos de 1 ano
30866,6027.0,157600,7,Autor de emenda há menos de 1 ano
30867,6027.0,157764,7,Autor principal da matéria há menos de 1 ano
30868,6027.0,157772,7,Autor de emenda há menos de 1 ano
30869,6027.0,157807,7,Autor de emenda há menos de 1 ano
30870,6027.0,157826,13,Discursou sobre a matéria (Pela Liderança) há menos de 1 ano - Autor de emenda há menos de 1 ano
30871,6027.0,157832,7,Autor de emenda há menos de 1 ano
30872,6027.0,157955,7,Autor de emenda há menos de 1 ano
30873,6027.0,158011,7,Autor de emenda há menos de 1 ano
30874,6027.0,158017,7,Autor de emenda há menos de 1 ano
30875,6027.0,158031,7,Autor de emenda há menos de 1 ano
30876,6027.0,158051,7,Autor de emenda há menos de 1 ano
30877,6027.0,158092,7,Autor principal da matéria há menos de 1 ano
30878,6027.0,158095,0,Co-autor de PEC
30879,6027.0,158137,7,Autor de emenda há menos de 1 ano
30880,6027.0,158138,7,Autor de emenda há menos de 1 ano
30881,6027.0,158153,7,Autor de emenda há menos de 1 ano
30882,6027.0,158306,0,Co-autor de PEC
30883,6027.0,158334,7,Autor de emenda há menos de 1 ano
30884,6027.0,158341,7,Autor de emenda há menos de 1 ano
30885,6027.0,158350,5,Co-autor da matéria há menos de 1 ano
30886,6027.0,158375,6,Discursou sobre a matéria (Pela Liderança) há menos de 1 ano
30887,6027.0,158474,7,Autor de emenda há menos de 1 ano
30888,6027.0,158548,7,Autor de emenda há menos de 1 ano
30889,6027.0,158564,7,Autor de emenda há menos de 1 ano
30890,6027.0,158568,7,Autor de emenda há menos de 1 ano
30891,6027.0,158620,7,Autor de emenda há menos de 1 ano
30892,6027.0,158628,7,Autor de emenda há menos de 1 ano
30893,6027.0,158654,7,Autor de emenda há menos de 1 ano
30894,6027.0,158767,7,Autor principal da matéria há menos de 1 ano
30895,6027.0,158769,7,Autor principal da matéria há menos de 1 ano
30896,6027.0,158799,5,Co-autor da matéria há menos de 1 ano
30897,6027.0,158825,7,Autor de emenda há menos de 1 ano
30898,6027.0,158907,13,Discursou sobre a matéria (Discussão) há menos de 1 ano - Autor de emenda há menos de 1 ano
30899,6027.0,158930,7,Autor de emenda há menos de 1 ano
30900,6027.0,159094,0,Co-autor de PEC
30901,6027.0,159163,7,Autor principal da matéria há menos de 1 ano
30902,6027.0,159325,0,Co-autor de PEC
